Date,Time,Booking ID,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled  by Customer,Reason for Cancelling by Customer,Cancelled Rides by Driver,Reason for Cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method_Cash,Payment Method_UPI,Payment Method_Unknown,Payment Method_Wallet,Booking Status_Cancelled by Driver,Booking Status_Incomplete,Booking Status_Success,Hour
15/01/2024,16:00:00,CNR6875935,301629,0,Area-40,Area-24,10.39,15.75,0,Unknown,1,Personal & Car related issues,0,Unknown,1031.82,25.36,4.0,4.0,False,False,True,False,True,False,False,16
30/01/2024,22:00:00,CNR9661713,330283,0,Area-41,Area-45,10.39,15.75,0,Unknown,0,Unknown,1,Other Issue,1031.82,25.36,4.0,4.0,False,False,True,False,False,True,False,22
30/01/2024,0:00:00,CNR4039598,663054,1,Area-47,Area-8,15.27,23.29,0,Unknown,0,Unknown,0,Unknown,56.33,17.67,3.6,3.3,False,True,False,False,False,False,True,0
25/01/2024,14:00:00,CNR4781044,785197,1,Area-47,Area-4,19.7,3.85,0,Unknown,0,Unknown,0,Unknown,534.88,20.73,3.7,4.7,False,False,False,False,False,False,True,14
23/01/2024,21:00:00,CNR4422948,976638,0,Area-4,Area-42,1.28,3.7,0,Unknown,0,Unknown,0,Unknown,988.65,37.92,3.5,3.8,False,False,False,True,False,False,True,21
03/01/2024,12:00:00,CNR1039726,610311,1,Area-36,Area-43,10.39,15.75,1,Driver asked to cancel,0,Unknown,0,Unknown,1031.82,25.36,4.0,4.0,False,False,True,False,False,False,False,12
29/01/2024,11:00:00,CNR8269111,320861,0,Area-18,Area-19,14.63,6.9,0,Unknown,0,Unknown,0,Unknown,1815.41,32.08,3.5,4.0,True,False,False,False,False,False,True,11
04/01/2024,22:00:00,CNR6803191,110139,0,Area-46,Area-28,3.13,28.41,0,Unknown,0,Unknown,0,Unknown,769.97,34.86,3.3,3.1,False,False,False,False,False,False,True,22
14/01/2024,9:00:00,CNR4918104,877991,1,Area-35,Area-44,15.0,6.71,0,Unknown,0,Unknown,0,Unknown,1265.15,22.13,4.9,4.8,True,False,False,False,False,False,True,9
13/01/2024,19:00:00,CNR5636516,696750,0,Area-48,Area-12,6.72,16.89,0,Unknown,0,Unknown,0,Unknown,1180.97,1.02,3.6,3.9,False,True,False,False,False,False,True,19
20/01/2024,20:00:00,CNR4657976,451470,0,Area-43,Area-41,2.77,28.61,0,Unknown,0,Unknown,0,Unknown,337.34,12.51,3.6,4.6,True,False,False,False,False,False,True,20
03/01/2024,3:00:00,CNR5911455,954596,0,Area-49,Area-29,14.67,15.64,0,Unknown,0,Unknown,0,Unknown,1500.13,41.7,4.1,4.8,False,False,False,True,False,False,True,3
02/01/2024,5:00:00,CNR3677899,795205,0,Area-26,Area-38,1.51,19.64,0,Unknown,0,Unknown,0,Unknown,789.25,7.65,3.9,3.1,False,False,False,False,False,False,True,5
27/01/2024,12:00:00,CNR1165267,220096,1,Area-39,Area-48,15.78,5.75,0,Unknown,0,Unknown,0,Unknown,1172.8,16.24,4.2,4.9,False,False,False,True,False,False,True,12
23/01/2024,17:00:00,CNR4353881,260422,1,Area-41,Area-30,10.39,15.75,0,Unknown,0,Unknown,1,Vehicle Breakdown,1031.82,25.36,4.0,4.0,False,False,True,False,False,True,False,17
11/01/2024,7:00:00,CNR7476647,355123,1,Area-15,Area-26,6.82,17.87,0,Unknown,0,Unknown,0,Unknown,1504.57,24.19,4.1,3.9,False,True,False,False,False,False,True,7
12/01/2024,19:00:00,CNR7952112,232731,0,Area-1,Area-46,6.21,29.25,0,Unknown,0,Unknown,0,Unknown,1743.5,28.11,4.4,3.3,False,False,False,True,False,False,True,19
28/01/2024,2:00:00,CNR8944311,519904,1,Area-32,Area-19,16.46,16.95,0,Unknown,0,Unknown,0,Unknown,1941.86,23.29,3.6,3.6,False,False,False,True,False,False,True,2
07/01/2024,18:00:00,CNR3042819,406039,1,Area-10,Area-32,10.67,8.93,0,Unknown,0,Unknown,0,Unknown,1124.97,41.9,5.0,3.5,False,False,False,True,False,False,True,18
