Pickup Location,Hour,Date,ride_count,DayOfWeek,IsWeekend,Pickup_loc_code
Area-1,0,04/01/2024,1,3,0,0
Area-1,0,11/01/2024,2,3,0,0
Area-1,0,14/01/2024,1,6,1,0
Area-1,0,16/01/2024,1,1,0,0
Area-1,0,23/01/2024,2,1,0,0
Area-1,1,05/01/2024,2,4,0,0
Area-1,1,06/01/2024,1,5,1,0
Area-1,1,12/01/2024,1,4,0,0
Area-1,1,14/01/2024,1,6,1,0
Area-1,1,17/01/2024,2,2,0,0
Area-1,1,25/01/2024,2,3,0,0
Area-1,2,01/01/2024,1,0,0,0
Area-1,2,02/01/2024,1,1,0,0
Area-1,2,04/01/2024,1,3,0,0
Area-1,2,06/01/2024,1,5,1,0
Area-1,2,10/01/2024,1,2,0,0
Area-1,2,11/01/2024,1,3,0,0
Area-1,2,14/01/2024,1,6,1,0
Area-1,2,18/01/2024,1,3,0,0
Area-1,2,24/01/2024,1,2,0,0
Area-1,2,28/01/2024,1,6,1,0
Area-1,3,02/01/2024,1,1,0,0
Area-1,3,04/01/2024,1,3,0,0
Area-1,3,07/01/2024,1,6,1,0
Area-1,3,10/01/2024,1,2,0,0
Area-1,3,12/01/2024,1,4,0,0
Area-1,3,21/01/2024,1,6,1,0
Area-1,3,22/01/2024,3,0,0,0
Area-1,3,24/01/2024,1,2,0,0
Area-1,3,25/01/2024,1,3,0,0
Area-1,3,26/01/2024,1,4,0,0
Area-1,3,27/01/2024,2,5,1,0
Area-1,3,30/01/2024,1,1,0,0
Area-1,4,02/01/2024,1,1,0,0
Area-1,4,05/01/2024,1,4,0,0
Area-1,4,06/01/2024,1,5,1,0
Area-1,4,07/01/2024,2,6,1,0
Area-1,4,09/01/2024,2,1,0,0
Area-1,4,10/01/2024,1,2,0,0
Area-1,4,17/01/2024,2,2,0,0
Area-1,4,19/01/2024,1,4,0,0
Area-1,4,21/01/2024,1,6,1,0
Area-1,4,28/01/2024,1,6,1,0
Area-1,4,30/01/2024,1,1,0,0
Area-1,5,02/01/2024,1,1,0,0
Area-1,5,04/01/2024,1,3,0,0
Area-1,5,05/01/2024,1,4,0,0
Area-1,5,08/01/2024,2,0,0,0
Area-1,5,14/01/2024,1,6,1,0
Area-1,5,17/01/2024,1,2,0,0
Area-1,5,19/01/2024,1,4,0,0
Area-1,5,23/01/2024,1,1,0,0
Area-1,5,28/01/2024,1,6,1,0
Area-1,6,01/01/2024,3,0,0,0
Area-1,6,02/01/2024,1,1,0,0
Area-1,6,04/01/2024,2,3,0,0
Area-1,6,05/01/2024,1,4,0,0
Area-1,6,07/01/2024,1,6,1,0
Area-1,6,11/01/2024,1,3,0,0
Area-1,6,12/01/2024,2,4,0,0
Area-1,6,18/01/2024,1,3,0,0
